,,,,,,,,,,,,,,,,,,
,世,名,字,号/称,职业,朝代,省,故乡,代,生,,卒,,墓位,妻,子,子名,
有熊氏,,少典,,,,三皇,,,,,,,,,附宝,,,
有熊氏,,姬轩辕,,黄帝,,五帝,,郑州市（新郑）,,,(2697),,(2599),,,,,
,,姬玄嚣、赢鸷,,青阳,五方天帝之一，东夷部落首领,五帝,四川,绵阳（江水）,,,,,,,,,,
,1,张挥,玉爵,天禄,弓矢的发明者,五帝,河北,濮阳及清河,,,,,,帝丘（今河南省濮阳市濮阳县）,,子二,张昧、张般,
,2,张昧,,若,帝颛顼时玄冥司水正,五帝,山西,太原市（尹城）,,,,,,,,子二,张允格、张台骀,
,3,张台骀,,,帝颛顼时玄冥司水正,五帝,山西,太原市（尹城）,,,,,,,,子一,张伊源,
,4,张伊源,,须,帝喾时为玄冥司水正，升茂州侯,五帝,山西,太原市（尹城）,,,,,,,,子四,张汉、张侯、张筒竹、张突美,
,5,张侯,,,尧时为大夫，升幽州侯,五帝,,,,,,,,,,子三,张长若、张立芳、张敬积,
,6,张立方,,师,尧时为大夫,五帝,,,,,,,,,,子二,张乾、张坤,
,7,张坤,,,尧时为大夫,五帝,,,,,,,,,,子一,张敦吾,
,8,张敦吾,,阳,尧时作黉门秀士，舜时为大夫,五帝,,,,,,,,,,子一,张郊,
,9,张郊,,,舜时司火正,五帝,,,,,,,,,,子一,张重熙、张作元,
,10,张重熙,,,舜时司火正,五帝,,,,,,,,,,子一,张吴光、张仲疑、张叔启,
,11,张吴光,,,舜时为大夫,五帝,,,,,,,,,,子一,张天杰,
,12,张天杰,,,佐禹平水有功，为四岳诸侯之长,夏朝,,,,,,,,,,子一,张钦若、张选、张盛、张明,
,13,张钦若,,,与众诸侯会夏禹于涂山，受典则迁防山,夏朝,,,,,,,,,,子二,张嘉学（桃）、张嘉奇（榆）、张嘉腾、张嘉发、张嘉伟,
,14,张榆,,,,夏朝,,,,,,,,,,子二,张临、张卧,
,15,张临,,,为仲康大夫,夏朝,,,,,,,,,,子一,张临（明契）、张卧（升逢）,
,16,张宜,,,为帝相大夫,夏朝,,,,,,,,,,子一,张阳,
,17,张阳,,,为帝相大夫,夏朝,,,,,,,,,,子一,张安,
,18,张安,,,为过王大夫,夏朝,,,,,,,,,,子一,张考,
,19,张考,,,为少康大夫,夏朝,,,,,,,,,,子一,张承,
廿,20,张承,,,为帝槐大夫,夏朝,,,,,,,,,,子二,张喾、张誉,
,21,张嚳,,,为帝芒大夫,夏朝,,,,,,,,,,子三,张珑、张琦、张珍,
,22,张琦,,,为帝芒大夫,夏朝,,,,,,,,,,子一,张契、张希,
,23,张希,,,为帝扃大夫,夏朝,,,,,,,,,,子一,张燧,
,24,张燧,,,为帝廑（扃）时大夫,夏朝,,,,,,,,,,子一,张秦,
,25,张秦,,,帝孔甲的大夫,夏朝,,,,,,,,,,子一,张仲叔（还）、张仲奏,
,26,张还,仲叔,,夏末帝发为大夫,夏朝,,,,,,,,,,子一,张纯、张济,
,27,张纯,,,为商朝开国之主商汤的大夫,商朝,,,,,,,,,,子一,张质,
,28,张质,明颖,,,商朝,,,,,,,,,,子二,张厢、张康,
,29,张康,孙伦,,商太康大夫,商朝,,,,,,,,,,子一,张启,
卅,30,张启,丁盛,,商太康大夫,商朝,,,,,,,,,,子一,张立,
,31,张立,子吕,,商小甲大夫,商朝,,,,,,,,,,子一,张瑰,
,32,张瑰,先克,,商雍已大夫,商朝,,,,,,,,,,子一,张秩、张佐例,
,33,张秣,引和,,商雍已大夫,商朝,,,,,,,,,,子一,张庭,
,34,张庭,振生,,,商朝,,,,,,,,,,子一,张颢,
,35,张颢,瑞昌,,,商朝,,,,,,,,,,子一,张洙、张珍、张玉,
,36,张洙,善氏,,商祖丁大夫,商朝,,,,,,,,,,子一,张攸逊、张逸,
,37,张逸,书康,,商祖辛大夫,商朝,,,,,,,,,,子一,张都,
,38,张都,元和,,,商朝,,,,,,,,,,子一,张助,
,39,张助,归生,,,商朝,,,,,,,,,,子一,张顺乙（须）、张顺天,
,40,张须,顺乙,,,商朝,,,,,,,,,,子一,张圆,
,41,张圆,,,,商朝,,,,,,,,,,子一,张辛肖（肃）、张光侵,
,42,张肃,辛肖,,,商朝,,,,,,,,,,子一,张昶,
,43,张昶,成良,,,商朝,,,,,,,,,,子一,张浚、张启,
,44,张浚,受丁,,为武丁（小乙）时的将军,商朝,,,,,,,,,,子一,张惠,
,45,张惠,郁正,,为祖甲时司马,商朝,,,,,,,,,,子一,张谊,
,46,张谊,仲交,,商康丁为豫州牧,商朝,,,,,,,,,,子一,张稳、张贤,
,47,张稳,季甲,,为武乙（太丁）时太史,商朝,,,,,,,,,,子一,张元、张威,
,48,张元,永先,,为帝乙时大夫,商朝,,,,,,,,,,子二,张政、张奎,
,49,张政,攸成,,为西周武王大夫,西周,,,,,,,,,,子一,张炳,
,50,张炳,卿能,,为西周武王大夫,西周,,,,,,,,,,子二,张辰、张振,
,51,张辰,拱斗,,为周康王先锋,西周,,,,,,,,,,子一,张本,
,52,张本,太照,,为周昭王大夫,西周,,,,,,,,,,子三,张燥、张灼、张焰,
,53,张灼,,,,西周,,,,,,,,,,子一,张兖,
,54,张兖,史锡,,为周穆王大夫,西周,,,,,,,,,,子一,张灵、张伟,
,55,张灵,仁瑞,,为周夷王大夫,西周,,,,,,,,,,子一,张宏,
,56,张宏,广泰,,为周厉王大夫,西周,,,,,,,,,,子二,张道、张绅,
,57,张道,无忌,,为周厉王大夫,西周,四川,剑州府梓潼县,,,,,,,,子一,张仲、张允思,
,58,张仲,广明,仲甫,为周宣王时的卿土，被封为文昌帝君,西周,四川,剑州府梓潼县,,,(841),,,,,子二,张逸、张众,
,59,张逸,然明,,为周宣王官大夫,西周,,,,,,,,,,子一,张伯谦,
,60,张伯谦,守姜,,活动于宣王、幽王时期,西周,,,,,,,,,,子一,张信明,
,61,张信明,左吉,,活动于幽王、平王时期,春秋,,,,,,,,,,子二,张实、张贵,
,62,张实,成厚,,活动于平王时期,春秋,,,,,,,,,,子一,张禹臣、张君臣,
,63,张禹臣,洪颂,,为周釐王司徒,春秋,山东,曲阜,,,,,,,,子一,张元驭,
,64,张元驭,卓茂,,为周顷王大夫,春秋,,,,,,,,,,子一,张熙,
,65,张熙,正先,,活动于周桓王、周庄王时期,春秋,,,,,,,,,,子一,张元淑,
,66,张元淑,义方,,晋武公时大夫,春秋,,,,,,,,,,子一,张奉义,
,67,张奉义,万成,,晋献公时大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张高陵,
,68,张高陵,,,活动于周惠王、周襄王时期，晋大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张宣武,
,69,张宣武,策,,活动于周襄王时期，晋大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张侯,
,70,张侯,仪昭,,周项王、周定王时为晋国大夫,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张老,
,71,张老,高龄,,活动于周简王时期，晋大夫，中军司马,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张君臣、张善勋,
,72,张君臣,有量,,活动于周灵王时期，晋大夫，中军司马,春秋,山西,临汾市（平阳/曲沃）,,,,,,,,子一,张趯,
,73,张趯,阜成,,活动于周景王时期，晋大夫,春秋,,,,,,,,,,子三,张骼、张髓、张体,
,74,张骼,让义,,活动于周景王、周敬王时期，晋大夫,春秋,,,,,,,,,,子二,张进明、张权,
,75,张进明,去疾,,战国初期周慎靓王时赵国大夫,战国,,,,,,,,,,子一,张孟谈,
,76,张孟谈,国师,,为赵谋臣，其后仕韩,战国,河南,新乡市（开封）延津县,,,,,,,,子三,张正朔、张柳朔、张望朔,
,77,张柳朔,,,晋范氏家臣，其后由晋徙齐，齐徙赵，再赵徙韩，为韩国世卿,战国,河南,新乡市（开封）延津县,,,,,,,,子一,张开地,
